"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
40, 6.243448853000000e-01, -4.844113587000000e-01, 8.937878543978716e-01, -9.439142800771119e-01, 1.410356775459069e-01, 3.620272889073376e-02, -0.000000000000000e+00
3517, 6.166980286895765e-01, -4.861908782566440e-01, 8.936403797333098e-01, -9.502880014962254e-01, 1.476588461486895e-01, 3.523135511767899e-02, -0.000000000000000e+00
41, 6.090716124000000e-01, -4.880555569000000e-01, 8.934993769875916e-01, -9.563820124452123e-01, 1.583113974771646e-01, 3.537961879471430e-02, -0.000000000000000e+00
4641, 6.013762286025028e-01, -4.896150123049059e-01, 8.933635180181984e-01, -9.622537140406948e-01, 1.654813249296997e-01, 3.406125357856967e-02, -0.000000000000000e+00
42, 5.936905742000000e-01, -4.912214576000000e-01, 8.932339924259283e-01, -9.678516928137157e-01, 1.763246780370074e-01, 3.363027943580307e-02, -0.000000000000000e+00
3630, 5.859526844240669e-01, -4.925567338290046e-01, 8.931118208125152e-01, -9.731318392818067e-01, 1.840208488243777e-01, 3.192471108406675e-02, -0.000000000000000e+00
43, 5.782172084000000e-01, -4.939058422000000e-01, 8.929966606364282e-01, -9.781089577796532e-01, 1.949951895090383e-01, 3.088024367361017e-02, -0.000000000000000e+00
4558, 5.704429258093895e-01, -4.950129232690930e-01, 8.928906408050871e-01, -9.826910388569557e-01, 2.031714914095935e-01, 2.874036779067564e-02, -0.000000000000000e+00
44, 5.626665950000000e-01, -4.961056112000000e-01, 8.927920103112321e-01, -9.869537594614002e-01, 2.142158801308779e-01, 2.705904628070280e-02, -0.000000000000000e+00
3594, 5.548624870163748e-01, -4.969809931158115e-01, 8.927040750038157e-01, -9.907542437957239e-01, 2.228158194885201e-01, 2.444242804282364e-02, -0.000000000000000e+00
45, 5.470541716000000e-01, -4.978182613000000e-01, 8.926245540554558e-01, -9.941910671533860e-01, 2.338688094728251e-01, 2.210540261494834e-02, -0.000000000000000e+00
4590, 5.392270109623779e-01, -4.984588665185499e-01, 8.925570662421799e-01, -9.971078293123919e-01, 2.428220137347047e-01, 1.897428166391099e-02, -0.000000000000000e+00
46, 5.313953161000000e-01, -4.990418552000000e-01, 8.924992334961124e-01, -9.996073082122562e-01, 2.538258917546715e-01, 1.596843357577456e-02, -0.000000000000000e+00
4833, 5.235520907023608e-01, -4.994449909885451e-01, 8.924545249198921e-01, -1.001539572379258e+00, 2.630469468568462e-01, 1.228780863383342e-02, -0.000000000000000e+00
